Node name,Node pack name,Display Name,Simple Name,Long docstring,Short docstring,Tags,Icon
Load Image Based on Number,mikey_nodes,Load Image Based on Number (Mikey),Image Loader By Index,"The node loads an image from a specified directory based on a given index (seed). It is designed to handle large indices by wrapping around the list of image files in the directory, ensuring a valid image is always returned regardless of the seed value.",Load and cycle through images from a directory.,"['Input', 'Image']",photo-film
LMStudioPrompt,mikey_nodes,LM Studio Prompt (Mikey),LM Studio Prompt Generator,"LMStudioPrompt is designed to interface with the LM Studio API, offering a streamlined way to generate prompts by leveraging the capabilities of this specific API. It mirrors the functionality of a similar node but specifically utilizes LM Studio's services for prompt generation, emphasizing its integration with LM Studio's unique features and API structure.",Generate prompts using LM Studio API.,"['Prompt', 'Base', 'Prompt']",square-pen
TextCombinations3,mikey_nodes,Text Combinations 3 (Mikey),Dynamic Text Mixer,"This node is designed to generate a variety of text combinations based on predefined text inputs and operations. It allows for the dynamic creation of text outputs by applying specified operations to the input texts, potentially incorporating randomness through a seed value.",Generate dynamic text combinations with operations.,['Prompt'],text-height
OobaPrompt,mikey_nodes,OobaPrompt (Mikey),Text Prompt Generator,"The OobaPrompt node is designed to facilitate the generation of text prompts by processing and transforming input text according to specific syntax rules. It leverages an API to dynamically generate content based on the input prompt, seed, and mode, allowing for customized text generation that can incorporate external data or predefined styles.",Generate customized text prompts dynamically.,"['Prompt', 'Wildcard']",square-pen
Empty Latent Ratio Select SDXL,mikey_nodes,Empty Latent Ratio Select SDXL (Mikey),Latent Space Ratio Selector,"This node is designed to generate a tensor representing an empty latent space based on a selected ratio from predefined options. It facilitates the creation of a latent space with specific dimensions that adhere to a user-selected aspect ratio, enabling the generation of content with desired proportions.",Generate empty latent space with specific dimensions.,"['Diffusion', 'Latent', 'Latent']",window-minimize
Empty Latent Ratio Custom SDXL,mikey_nodes,Empty Latent Ratio Custom SDXL (Mikey),Custom Latent Size Generator,"This node is designed to generate a custom-sized latent representation based on specified width and height dimensions, tailored for the SDXL latent format. It utilizes predefined ratios to adjust the dimensions if they match known ratios, or calculates the appropriate size otherwise, ensuring the generated latent space is optimized for subsequent image generation tasks.",Generate custom-sized latent representations for image generation.,"['Diffusion', 'Latent', 'Latent']",image-portrait
MikeyLatentTileSampler,mikey_nodes,Latent Tile Sampler (Mikey),Large Space Tiler,"This node specializes in resampling a latent space that exceeds the specified tile size, effectively managing larger-than-tile latent spaces by breaking them down into manageable pieces for processing. It focuses on optimizing the handling and manipulation of large latent representations for tasks such as image generation or modification, ensuring efficient and targeted resampling within a tiled framework.",Resample large latent spaces into manageable tiles.,"['Diffusion', 'Latent', 'Latent']",table-cells
Batch Load Images,mikey_nodes,Batch Load Images (Mikey),Directory Image Loader,"This node is designed to load a batch of images from a specified directory, optionally including images from subdirectories. It supports various image formats and converts them into a tensor format suitable for further processing or model input.",Load and convert images to tensor format.,"['Input', 'Image']",file-image
TextCombinations,mikey_nodes,Text Combinations 2 (Mikey),Text Mixer,"The TextCombinations node is designed to generate a variety of text combinations based on predefined text inputs and operations. It allows for the dynamic mixing and matching of text elements to create new, composite strings according to specified operations, making it a versatile tool for text manipulation and generation.",Generate dynamic text combinations from predefined inputs.,['Prompt'],text-height
Wildcard Processor,mikey_nodes,Wildcard Processor (Mikey),Text Placeholder Substituter,"The Wildcard Processor node is designed to enhance text inputs by dynamically substituting placeholders with specified or random values. It leverages wildcard and random syntax processing to generate varied outputs based on the given seed, making it ideal for applications requiring text variation and customization.",Enhance text inputs with dynamic substitutions.,"['Prompt', 'Wildcard']",text-height
Save Image With Prompt Data,mikey_nodes,Save Image With Prompt Data,Metadata-Embedded Image Saver,"This node is designed to save images along with associated prompt data and additional PNG metadata. It encapsulates the functionality to embed prompt information and other relevant metadata directly into the PNG files, facilitating a seamless integration of image content with descriptive data. The node aims to enhance the utility and interpretability of saved images by embedding contextual information, making it easier for users to understand and manage their image collections.",Embed metadata into PNG files.,"['Output', 'Image', 'ImageSave']",file-image
Save Image If True,mikey_nodes,Save Image If True (Mikey),Conditional Image Saver,This node conditionally saves an image to disk based on a specified condition. It leverages a separate saving mechanism to store the image with optional metadata and a filename prefix if the condition is met.,Conditionally save images with metadata.,"['Output', 'Image', 'ImageSave']",file-image
HaldCLUT ,mikey_nodes,HaldCLUT ,Color Grading,"The HaldCLUT node applies a color lookup table (CLUT) to an image, optionally performing gamma correction, to achieve various color grading effects. This process allows for the transformation of the image's color palette based on predefined CLUT files, enhancing or altering its aesthetic according to the selected CLUT.",Apply color lookup table for image grading effects.,"['Image', 'Color and Channels', 'Color']",file-medical
MosaicExpandImage,mikey_nodes,Mosaic Expand Image (Mikey),Image Mosaic Expander,"The MosaicExpandImage node is designed to expand an image by adding mosaic borders around it. These borders are created by cropping sections from the original image, generating a mosaic from these sections, and then pasting these mosaics around the original image to achieve the desired expanded size.",Expand image with mosaic borders.,"['Image', 'Image Transformation and Manipulation', 'Crop']",border-all
FileNamePrefixDateDirFirst,mikey_nodes,File Name Prefix Date Dir First (Mikey),Date-Based Filename Creator,"This node is designed to generate a filename prefix based on a combination of date, custom directory, and custom text inputs. It dynamically constructs the prefix by incorporating current date information, user-defined directory structures, and custom text, ensuring the generated prefix is unique and organized according to the specified parameters.",Generate unique filename prefixes with date and text.,"['Data', 'Data Conversion and Manipulation']",file-import
Ratio Advanced,mikey_nodes,Ratio Advanced (Mikey),Image Ratio Selector (Adv.),"The `Ratio Advanced` node is designed to provide advanced functionalities for managing and selecting image ratios. It encompasses reading, updating, and utilizing predefined and custom ratio presets for image generation tasks, allowing for flexible image dimension specifications based on user input or predefined standards.",Manage and select image ratios with advanced functionalities.,"['Image', 'Image Size and Aspect', 'AspectRatio']",file-image
SD3TextConditioningWithOptionsOnePrompt,mikey_nodes,SD3 Text Conditioning With Options. One Prompt (Mikey),Style-Based Text Enhancer,"The SD3TextConditioningWithOptionsOnePrompt node is designed to enhance text prompts for image generation by applying style-based modifications and conditioning. It leverages specific styles to modify positive and negative prompts, integrates seed-based variations for style selection, and utilizes advanced text encoding techniques to refine the conditioning process for improved image generation outcomes.",Enhance text prompts for styled image generation.,"['Prompt', 'Base']",file-image
ImageOverlay,mikey_nodes,Image Overlay (Mikey),Auto-Adjust Image Overlay,"The ImageOverlay node is designed to seamlessly overlay a foreground image onto a background image. It automatically adjusts the foreground image by filling, cropping, or resizing it to match the dimensions of the background image, ensuring a harmonious blend between the two.",Overlay images with automatic adjustments.,"['Image', 'Image Transformation and Manipulation', 'ImageComposite']",photo-film
ImagePaste,mikey_nodes,Image Paste (Mikey),Image Overlay Composer,"The ImagePaste node is designed to overlay a foreground image with transparency onto a background image, effectively merging them into a single composite image. This process allows for the creation of complex images by combining multiple layers.",Overlay transparent foreground image onto background.,"['Image', 'Image Transformation and Manipulation', 'ImageComposite']",file-image
Mikey Sampler Base Only,mikey_nodes,Mikey Sampler Base Only,Basic Sampler,"The Mikey Sampler Base Only node is designed for basic sampling tasks within a specialized framework, focusing on generating outputs based on a simplified set of parameters. It abstracts the complexity of underlying sampling algorithms to provide a straightforward interface for generating samples.",Generate samples with simplified parameters.,"['Diffusion', 'Sampling and Scheduling', 'Sampling']",filter
MikeySamplerTiledAdvanced,mikey_nodes,Mikey Sampler Tiled Advanced,Advanced Tile Sampler (Adv.),"The MikeySamplerTiledAdvanced node is designed for advanced sampling in a tiled manner, optimizing the generation process by handling complex patterns and structures efficiently. It extends the capabilities of basic sampling methods by incorporating advanced techniques to improve the quality and coherence of the generated tiles.",Optimize advanced tiled sampling for complex patterns.,"['Diffusion', 'Sampling and Scheduling', 'Sampling']",chess-board
MikeyLatentTileSamplerCustom,mikey_nodes,Latent Tile Sampler Custom (Mikey),Custom Latent Tile Sampler,This node is designed to handle custom operations on latent tiles within a generative model's framework. It likely extends or modifies the functionality of standard latent tile sampling processes to accommodate specific requirements or optimizations not covered by the default implementations.,Handle custom operations on latent tiles.,"['Diffusion', 'Latent', 'Latent']",object-ungroup
Batch Crop Resize Inplace,mikey_nodes,Batch Crop Resize Inplace (Mikey),Batch Image Cropper & Resizer,"This node is designed to perform in-place cropping and resizing operations on a batch of images. It aims to modify the dimensions of each image in the batch according to specified parameters, optimizing the images for further processing or analysis.",Crop and resize images in batch.,"['Image', 'Image Size and Aspect', 'ImageResize']",image
Style Conditioner,mikey_nodes,Style Conditioner (Mikey),Style Mixer,"The StyleConditioner node is designed to apply specific stylistic adjustments to conditioning bases and refiners, leveraging a combination of predefined and dynamically generated style prompts. It utilizes seed-based selection for styles and performs encoding and averaging operations to blend the selected style with the existing conditioning, enabling nuanced control over the stylistic output.",Apply stylistic adjustments to conditioning bases and refiners.,"['Diffusion', 'Style', 'Style']",fill-drip
ModelMergeSDXL,Comfy,ModelMergeSDXL,Model Blender (Adv.),"ModelMergeSDXL is designed for advanced model merging operations, specifically tailored for handling large-scale models. It enables the precise blending of two models by adjusting the influence of each model's components across various blocks, including input, middle, and output blocks, as well as time embedding and label embedding features.",Merge large-scale models with precise component blending.,"['Model', 'Manipulation', 'ModelMerge']",trowel-bricks
GrowMask,Comfy,GrowMask,Expand Or Contract Mask,"The GrowMask node is designed to modify the size of a given mask, either expanding or contracting it, while optionally applying a tapered effect to the corners. This functionality is crucial for dynamically adjusting mask boundaries in image processing tasks, allowing for more flexible and precise control over the area of interest.",Modify and adjust mask size with optional tapering.,"['Segmentation', 'Masks', 'Mask']",mask
ModelSamplingDiscrete,Comfy,ModelSamplingDiscrete,Model Discrete Sampler,"This node is designed to modify the sampling behavior of a model by applying a discrete sampling strategy. It allows for the selection of different sampling methods, such as epsilon, v_prediction, lcm, or x0, and optionally adjusts the model's noise reduction strategy based on the zero-shot noise ratio (zsnr) setting.",Modify model sampling behavior with discrete strategies.,"['Diffusion', 'Sampling and Scheduling', 'Sampling']",spinner
FeatherMask,Comfy,FeatherMask,Soften Mask Edges,"The FeatherMask node applies a feathering effect to the edges of a given mask, smoothly transitioning the mask's edges by adjusting their opacity based on specified distances from each edge. This creates a softer, more blended edge effect.",Apply feathering effect to mask edges.,"['Segmentation', 'Masks', 'Mask']",wand-magic-sparkles
PreviewAudio,Comfy,PreviewAudio,Audio Preview Generator,"The PreviewAudio node is designed for creating temporary audio previews. It generates audio files with a temporary marker and stores them in a designated temporary directory, facilitating the review or testing of audio content before final processing or saving.",Generate temporary audio previews for review.,"['Output', 'Image', 'Preview']",file-audio
HyperTile,Comfy,HyperTile,Dynamic Tile Adjuster,The HyperTile node is designed to enhance the processing of image data by dynamically adjusting the tile size of the input based on the model's channel configuration and the specified tile size. It aims to optimize the handling of image data for neural networks by applying a specialized tiling strategy that adapts to the model's characteristics and the computational constraints.,Optimize image data processing with dynamic tiling.,"['Image', 'Image Transformation and Manipulation']",vector-square
SolidMask,Comfy,SolidMask,Uniform Mask Generator,"The SolidMask node generates a uniform mask with a specified value across its entire area. It's designed to create masks of specific dimensions and intensity, useful in various image processing and masking tasks.",Generate uniform masks with specified dimensions and intensity.,"['Segmentation', 'Masks', 'Mask']",mask
GLIGENLoader,Comfy,GLIGENLoader,Generative Model Loader,"The GLIGENLoader node is designed for loading GLIGEN models, which are specialized generative models. It facilitates the process of retrieving and initializing these models from specified paths, making them ready for further generative tasks.",Load and initialize GLIGEN models from paths.,"['Model', 'Loading', 'Loader']",file-code
HypernetworkLoader,Comfy,HypernetworkLoader,Model Enhancer,"The HypernetworkLoader node is designed to enhance or modify the capabilities of a given model by applying a hypernetwork. It loads a specified hypernetwork and applies it to the model, potentially altering its behavior or performance based on the strength parameter. This process allows for dynamic adjustments to the model's architecture or parameters, enabling more flexible and adaptive AI systems.",Apply hypernetwork to enhance model capabilities.,"['Model', 'Loading', 'Loader']",sitemap
ImageCompositeMasked,Comfy,ImageCompositeMasked,Image Overlay With Mask,"The ImageCompositeMasked node is designed for compositing images, allowing for the overlay of a source image onto a destination image at specified coordinates, with optional resizing and masking.",Composite images with optional resizing and masking.,"['Image', 'Image Transformation and Manipulation', 'ImageBlend']",photo-film
StableCascade_SuperResolutionControlnet,Comfy,StableCascade_SuperResolutionControlnet,Super Resolution Enhancer,"This node is designed for generating super-resolution control inputs for a cascading image generation process, utilizing a VAE to encode images into latent representations that are then adjusted for different stages of image resolution enhancement.",Generate super-resolution inputs using VAE.,"['Controls', 'ControlNet']",display
CLIPTextEncode,Comfy,CLIP Text Encode (Prompt),Text Encoder,"The CLIPTextEncode node is designed to encode textual input using a CLIP model, transforming text into a conditioning format suitable for further processing or integration with other models. It focuses on converting text prompts into a structured format that captures the essence of the input for use in conditioned generative tasks.",Encode text using CLIP model for generative tasks.,"['Diffusion', 'CLIP', 'CLIP']",paperclip
RebatchImages,Comfy,Rebatch Images,Batch Reorganizer,"The RebatchImages node is designed to reorganize a batch of images into a new batch configuration, adjusting the batch size as specified. This process is essential for managing and optimizing the processing of image data in batch operations, ensuring that images are grouped according to the desired batch size for efficient handling.",Reorganize images into new batch configurations.,"['Image', 'Base', 'Image']",object-group
ImageScaleBy,Comfy,Upscale Image By,Image Upscaler,"The ImageScaleBy node is designed for upscaling images by a specified scale factor using various interpolation methods. It allows for the adjustment of the image size in a flexible manner, catering to different upscaling needs.",Upscale images by a specified factor.,"['Enhancers', 'ImageScaling']",images
SplitSigmasDenoise,Comfy,SplitSigmasDenoise,Sigma Partition Denoiser,"The SplitSigmasDenoise node is designed to partition a given sequence of sigmas into two distinct sequences based on a denoising factor. This operation facilitates the customization of the sampling process by allowing for the adjustment of the sequence length according to the desired level of denoising, thereby enabling more precise control over the generation quality.",Partition sigmas based on denoising for sampling customization.,"['Diffusion', 'Sampling and Scheduling', 'SigmaScheduling']",subscript
ImageQuantize,Comfy,ImageQuantize,Color Reducer,"The ImageQuantize node is designed to reduce the number of colors in an image to a specified number, optionally applying dithering techniques to maintain visual quality. This process is useful for creating palette-based images or reducing the color complexity for certain applications.",Reduce image colors and apply dithering if needed.,"['Image', 'Image Transformation and Manipulation']",chess-board
CLIPSetLastLayer,Comfy,CLIP Set Last Layer,CLIP Layer Customizer,"This node is designed to modify the behavior of a CLIP model by setting a specific layer as the last one to be executed. It allows for the customization of the depth of processing within the CLIP model, potentially affecting the model's output by limiting the amount of information processed.",Modify CLIP model behavior by setting layer depth.,"['Diffusion', 'CLIP', 'CLIP']",diagram-next
CLIPAttentionMultiply,Comfy,CLIPAttentionMultiply,Attention Weight Tuner,"This node specializes in adjusting the attention mechanism within a CLIP model by applying multiplicative modifications to the attention's query, key, value, and output projections. It enables fine-tuning of the attention weights to potentially enhance model performance or adapt the model to specific tasks.",Adjust CLIP model's attention mechanism for fine-tuning.,"['Model', 'Manipulation', 'ModelTuning']",filter
SplitSigmas,Comfy,SplitSigmas,Sigma Partitioner,"The `SplitSigmas` node is designed to partition a sequence of sigma values into two subsets based on a specified step index. This functionality is crucial for custom sampling strategies in generative models, where manipulating the noise levels can significantly impact the model's output quality and diversity.",Partition sigma values into subsets based on index.,"['Diffusion', 'Sampling and Scheduling', 'SigmaScheduling']",subscript
GLIGENTextBoxApply,Comfy,GLIGENTextBoxApply,Text-Driven Modifier,"The GLIGENTextBoxApply node is designed to append text-based conditioning to a given set of conditioning inputs using a GLIGEN model. It utilizes CLIP to encode the text and integrates the encoded information into the conditioning, allowing for text-driven modifications in generative tasks.",Append text-based conditioning to inputs using GLIGEN.,"['Diffusion', 'CLIP', 'CLIP']",right-to-bracket
SamplerLMS,Comfy,SamplerLMS,LMS Sampler Generator,"The SamplerLMS node provides a mechanism to generate a sampler based on the LMS (Least Mean Squares) algorithm, allowing for the customization of the sampling process through the adjustment of the order parameter. This node is designed to facilitate the creation of samplers that utilize the LMS method for applications within custom sampling strategies.",Generate samplers using the LMS algorithm.,"['Diffusion', 'Sampling and Scheduling', 'Sampling']",filter-circle-xmark
VAESave,Comfy,VAESave,Model Saver,"The VAESave node is designed for saving VAE models along with their metadata, including prompts and additional PNG information, to a specified output directory. It encapsulates the functionality to serialize the model state and associated information into a file, facilitating the preservation and sharing of trained models.",Save VAE models and metadata to directory.,"['Diffusion', 'Decoding', 'VAE']",folder-closed
DualCFGGuider,Comfy,DualCFGGuider,Dual Guidance Enhancer,"The DualCFGGuider node is designed to enhance the sampling process by applying dual conditional guidance factors to a model. It allows for the specification of two distinct conditioning contexts and their respective guidance scales, enabling more nuanced control over the generation process.",Enhance sampling with dual conditional guidance factors.,"['Diffusion', 'Sampling and Scheduling']",diagram-next
ControlNetLoader,Comfy,Load ControlNet Model,Load Control Model,"The ControlNetLoader node is designed to load a ControlNet model from a specified path. It plays a crucial role in initializing ControlNet models, which are essential for applying control mechanisms over generated content or modifying existing content based on control signals.",Load ControlNet models from specified paths.,"['Controls', 'ControlNet', 'ControlNet']",terminal
VAEDecodeAudio,Comfy,VAEDecodeAudio,Audio Decoder,"This node is designed for decoding audio data from a latent representation using a specified VAE model. It transforms the latent audio samples back into waveform audio, effectively reconstructing the audio content from its compressed or encoded state.",Decode audio data from latent representation.,"['Diffusion', 'Decoding', 'VAE']",file-audio
ConditioningSetMask,Comfy,Conditioning (Set Mask),Mask-Based Conditioning Adjuster,"This node is designed to modify the conditioning of a generative model by applying a mask and optionally setting the conditioning area to the bounds of the mask. It allows for the dynamic adjustment of the conditioning's influence through a strength parameter, enabling fine-tuned control over the generative process.",Modify generative model conditioning with masks.,"['Diffusion', 'Conditioning', 'Conditioning']",mask
ModelMergeSD3_2B,Comfy,ModelMergeSD3_2B,Model Integrator (Adv.),"This node specializes in merging two models by adjusting their embedding and block parameters specifically for the SD3_2B architecture. It allows for fine-tuned control over the merging process by providing adjustable parameters for positional, context, and various embedder components, as well as for each of the joint blocks and the final layer, enabling a highly customized integration of model features.",Merge two models for SD3_2B with fine-tuned control.,"['Model', 'Manipulation', 'ModelMerge']",arrows-left-right
SaveAudio,Comfy,SaveAudio,Audio Saver FLAC,"The SaveAudio node is designed for saving audio data to disk in FLAC format. It allows for the inclusion of metadata, such as prompts and additional information, within the saved audio files. This node is particularly useful for persisting audio outputs with contextual metadata, facilitating easier organization and retrieval of generated audio content.",Save audio with metadata to FLAC.,"['Output', 'Image', 'ImageSave']",file-audio
ImageInvert,Comfy,Invert Image,Image Color Inverter,"The ImageInvert node is designed to invert the colors of an image, effectively transforming each pixel's color value to its complementary color on the color wheel. This operation is useful for creating negative images or for visual effects that require color inversion.",Invert image colors to their complements.,"['Image', 'Color and Channels']",photo-film
LatentInterpolate,Comfy,LatentInterpolate,Blend Latents,"The LatentInterpolate node is designed to perform interpolation between two sets of latent samples based on a specified ratio, blending the characteristics of both sets to produce a new, intermediate set of latent samples.",Perform interpolation between two sets of latent samples.,"['Diffusion', 'Latent', 'Latent']",chart-gantt
SamplerDPMAdaptative,Comfy,SamplerDPMAdaptative,Adaptive Sampler (Adv.),"This node is designed to adaptively select and configure a sampler for deep probabilistic modeling, optimizing the sampling process based on dynamic input parameters and conditions. It focuses on enhancing the efficiency and accuracy of sampling in complex models by adjusting its parameters in real-time.",Adaptively configure samplers for probabilistic models.,"['Diffusion', 'Sampling and Scheduling', 'Sampling']",dice-five
Canny,Comfy,Canny,Edge Detector,"The Canny node is designed for edge detection in images, utilizing the Canny algorithm to identify and highlight the edges. This process involves applying a series of filters to the input image to detect areas of high gradient, which correspond to edges, thereby enhancing the image's structural details.",Detect and highlight image edges using Canny algorithm.,"['Detectors', 'LineExtraction']",file-image
SamplerEulerCFGpp,Comfy,SamplerEulerCFG++,Euler Sampler Selector,"The SamplerEulerCFGpp node provides a mechanism to select between two versions of a sampler based on the Euler method for generating samples, offering a choice between a regular and an alternative configuration.",Select between two Euler method sampler versions.,"['Diffusion', 'Sampling and Scheduling', 'SamplerScheduler']",arrows-left-right-to-line
RepeatImageBatch,Comfy,RepeatImageBatch,Batch Image Duplicator,"The RepeatImageBatch node is designed to duplicate a given image a specified number of times, creating a batch of identical images. This functionality is essential for operations that require multiple instances of the same image for batch processing or augmentation purposes.",Duplicate image into a batch of identical copies.,"['Image', 'Image Transformation and Manipulation', 'ImageDuplication']",boxes-stacked
ConditioningZeroOut,Comfy,ConditioningZeroOut,Conditioning Neutralizer (Adv.),"This node zeroes out specific elements within the conditioning data structure, effectively neutralizing their influence in subsequent processing steps. It's designed for advanced conditioning operations where direct manipulation of the conditioning's internal representation is required.",Neutralize specific elements in conditioning data.,"['Diffusion', 'Conditioning', 'Conditioning']",filter-circle-xmark
GITSScheduler,Comfy,GITSScheduler,Noise Level Scheduler,"The GITSScheduler node is designed to generate a sequence of sigma values for guiding the noise levels in generative models. It adjusts the sequence based on the provided coefficients, steps, and denoise factor, offering a customizable approach to noise scheduling in sampling processes.",Generate and adjust noise levels for generative models.,"['Diffusion', 'Sampling and Scheduling', 'SigmaScheduling']",volume-low
SamplerEulerAncestral,Comfy,SamplerEulerAncestral,Euler Sample Generator,"This node provides a mechanism to generate samples using the Euler Ancestral sampling method, tailored for specific noise and step size adjustments.",Generate samples using Euler Ancestral sampling.,"['Diffusion', 'Sampling and Scheduling', 'Sampling']",hourglass-end
VPScheduler,Comfy,VPScheduler,Diffusion Path Noise Scheduler,"The VPScheduler node is designed to generate a sequence of noise levels (sigmas) for variational path sampling in diffusion models, based on specified scheduling parameters.",Generate noise levels for diffusion model sampling.,"['Diffusion', 'Sampling and Scheduling', 'SigmaScheduling']",volume-high
StyleModelApply,Comfy,Apply Style Model,Style Integrator,"This node applies a style model to a given conditioning, enhancing or altering its style based on the output of a CLIP vision model. It integrates the style model's conditioning into the existing conditioning, allowing for a seamless blend of styles in the generation process.",Apply style model to enhance or alter conditioning.,"['Diffusion', 'Style', 'Style']",rotate
CLIPTextEncodeControlnet,Comfy,CLIPTextEncodeControlnet,Text Encoder For Control,"The CLIPTextEncodeControlnet node is designed for encoding text inputs using a CLIP model, specifically tailored for generating conditioning data that integrates with control networks. This node processes text to produce embeddings and pooled outputs, which are then augmented with existing conditioning data to enhance control over generative processes.",Encode text inputs using CLIP for generative control.,"['Diffusion', 'CLIP', 'CLIP']",file-code
RandomNoise,Comfy,RandomNoise,Noise Generator,The RandomNoise node generates random noise based on a given seed. It is designed to introduce variability into processes by providing a randomized element that can be consistently reproduced using the seed value.,Generate reproducible random noise with seed.,"['Math', 'Randomization and Seed']",file-contract
UNETLoader,Comfy,UNETLoader,U-Net Model Loader,"The UNETLoader node is designed for loading U-Net models by name, facilitating the use of pre-trained U-Net architectures within the system.",Load U-Net models by name.,"['Model', 'Loading', 'Loader']",image-portrait
ImageToMask,Comfy,Convert Image to Mask,Channel-Based Mask Generator,"The ImageToMask node is designed to convert an image into a mask based on a specified color channel. It allows for the extraction of mask layers corresponding to the red, green, blue, or alpha channels of an image, facilitating operations that require channel-specific masking or processing.",Convert image to mask based on color channel.,"['Segmentation', 'Masks', 'ImageMask']",palette
ConditioningSetAreaPercentage,Comfy,Conditioning (Set Area with Percentage),Area Focus Setter,"This node specializes in adjusting the conditioning of generative models by setting a specific area of interest in terms of percentage values for width, height, and position (x, y), along with a strength parameter to modulate the effect. It allows for fine-tuning the focus and intensity of the conditioning within a given area, enhancing the model's ability to generate or modify content with precision.",Adjust generative model conditioning with precision.,"['Diffusion', 'Conditioning', 'Conditioning']",robot
CropMask,Comfy,CropMask,Mask Cropper,"The CropMask node is designed for cropping a specified area from a given mask. It allows users to define the region of interest by specifying coordinates and dimensions, effectively extracting a portion of the mask for further processing or analysis.",Crop specified area from a mask.,"['Segmentation', 'Masks']",mask-ventilator
RepeatLatentBatch,Comfy,Repeat Latent Batch,Latent Batch Replicator,"The RepeatLatentBatch node is designed to replicate a given batch of latent representations a specified number of times, potentially including additional data like noise masks and batch indices. This functionality is crucial for operations that require multiple instances of the same latent data, such as data augmentation or specific generative tasks.",Replicate latent batches with optional data.,"['Diffusion', 'Latent']",flask-vial
BasicScheduler,Comfy,BasicScheduler,Sigma Adjuster,"The BasicScheduler node is designed to calculate and adjust the sigma values for a given model and scheduler over a specified number of steps, incorporating an optional denoise parameter to refine the process. It serves as a foundational element in custom sampling strategies, enabling precise control over the diffusion process in generative models.",Adjust sigma values for diffusion in generative models.,"['Diffusion', 'Sampling and Scheduling', 'SigmaScheduling']",spinner
UpscaleModelLoader,Comfy,Load Upscale Model,Image Upscaler Loader,The UpscaleModelLoader node is designed to load and prepare upscale models for image enhancement tasks. It ensures that the loaded model is compatible with single-image processing and performs necessary adjustments to the model's state dictionary for optimal functionality.,Load and prepare upscale models for image enhancement.,"['Model', 'Loading']",camera-rotate
ModelMergeSD2,Comfy,ModelMergeSD2,Structured Model Merger (Adv.),"ModelMergeSD2 is designed for advanced model merging operations, specifically tailored to work with models that share the same block structures. It enables the precise blending of two models by adjusting the influence of each model's components across various blocks, such as input, middle, and output blocks, using specified blending ratios.",Blend models with shared block structures precisely.,"['Model', 'Manipulation', 'ModelMerge']",cubes-stacked
ControlNetApply,Comfy,Apply ControlNet,Dynamic Image Modifier,"This node applies a control network to a given image and conditioning, adjusting the image's attributes based on the control network's parameters and a specified strength. It enables dynamic modification of image characteristics through control hints, facilitating targeted adjustments without altering the original conditioning structure.",Adjust image attributes using control network hints.,"['Controls', 'ControlNet', 'ControlNet']",file-image
CheckpointLoaderSimple,Comfy,Load Checkpoint,Model Loader,"The CheckpointLoaderSimple node is designed for loading model checkpoints without requiring a configuration name. It simplifies the checkpoint loading process by automatically guessing the appropriate configuration based on the checkpoint name, making it easier to use for quick model setups or testing.",Load model checkpoints automatically.,"['Model', 'Loading', 'Checkpoint']",check-to-slot
RebatchLatents,Comfy,Rebatch Latents,Latent Batch Reorganizer,"The RebatchLatents node is designed to reorganize a batch of latent representations into a new batch configuration, based on a specified batch size. It ensures that the latent samples are grouped appropriately, handling variations in dimensions and sizes, to facilitate further processing or model inference.",Reorganize batch of latent representations by size.,"['Diffusion', 'Latent']",cubes-stacked
EmptySD3LatentImage,Comfy,EmptySD3LatentImage,Blank Latent Image Generator,This node is designed to generate a blank latent image with a specific shape and initial value for use in SD3 models. It primarily serves as a starting point for further processing or manipulation within the SD3 framework.,Generate blank latent image for SD3 models.,"['Diffusion', 'SDXLSettings']",image-portrait
PerpNeg,Comfy,Perp-Neg (DEPRECATED by PerpNegGuider),Guidance Enhancer,"The PerpNeg node is designed to adjust the conditioning of a model by applying a perpendicular negative guidance technique. This technique modifies the input conditioning vectors to enhance the generation of content that diverges from undesired directions, effectively guiding the model towards more desirable outputs.",Adjust model conditioning with perpendicular negative guidance.,"['Diffusion', 'Conditioning']",arrow-down-up-across-line
ModelMergeBlocks,Comfy,ModelMergeBlocks,Hybrid Model Creator (Adv.),"ModelMergeBlocks is designed for advanced model merging operations, allowing for the integration of two models with customizable blending ratios for different parts of the models. This node facilitates the creation of hybrid models by selectively merging components from two source models based on specified parameters.",Merge two models with customizable blending ratios.,"['Model', 'Manipulation', 'ModelMerge']",diagram-successor
VAEEncodeForInpaint,Comfy,VAE Encode (for Inpainting),Inpainting Encoder,"This node is designed for encoding images into a latent representation suitable for inpainting tasks, incorporating additional preprocessing steps to adjust the input image and mask for optimal encoding by the VAE model.",Encode images for inpainting with preprocessing.,"['Diffusion', 'Inpaint']",object-group
FreeU_V2,Comfy,FreeU_V2,Dynamic Image Enhancer,"The FreeU_V2 node enhances the functionality of generative models by applying dynamic scaling and filtering techniques to the model's output. It utilizes a scale dictionary to adjust the model's hidden states based on predefined scaling factors and applies a Fourier filter to the spatial components, ensuring optimized output quality. This node is particularly useful for improving the visual fidelity of generated images or patterns, making it a valuable tool for tasks requiring high-quality visual outputs.",Enhance generative models with scaling and filtering.,"['Model', 'Manipulation']",file-image
